# of Entries,DB Type,Action,Sub-Action Type,Value Type,Time to Complete
2500,Redis,Update,,String,0.1612955410000012
2500,MySQL,Update,,String,0.0018019999999978609
2500,Mongo,Update,,Int,13.475936500000017
2500,Redis,Update,,Int,0.15787583399998084
2500,MySQL,Update,,Int,0.0020397920000050362
2500,Mongo,Update,,Complex,9.902060708999983
2500,Redis,Update,,Complex,0.170547125000013
2500,MySQL,Update,,Complex,0.0030924170000048434
2500,Mongo,Delete,,String,0.11839654099999564
2500,Redis,Delete,,String,0.018671333000000345
2500,MySQL,Delete,,String,0.0012568749999957163
2500,Mongo,Delete,,Int,1.2008429589999992
2500,Redis,Delete,,Int,0.053303249999999025
2500,MySQL,Delete,,Int,0.002047542000013891
2500,Mongo,Delete,,Complex,0.9317903339999987
2500,Redis,Delete,,Complex,0.04862641699997994
2500,MySQL,Delete,,Complex,0.0016007090000016433
3000,Mongo,Insert,,String,0.42051437500001043
3000,Redis,Insert,,String,0.1177205420000007
3000,MySQL,Insert,,String,0.0019228339999983746
3000,Mongo,Insert,,Int,0.40834954100000687
3000,Redis,Insert,,Int,0.1091379169999982
3000,MySQL,Insert,,Int,0.0017927500000212149
3000,Mongo,Insert,,Complex,0.43909612499999184
3000,Redis,Insert,,Complex,0.12361712500000976
3000,MySQL,Insert,,Complex,0.0032695829999909165
3000,Mongo,Search,single-search,String,5.08260150000001
3000,Mongo,Search,multi-search,String,0.04584983300000545
3000,Mongo,Search,find all,String,6.374999998115527e-06
3000,Redis,Search,single-search,String,0.18080212499998538
3000,Redis,Search,multi-search,String,0.4979799170000092
3000,Redis,Search,find all,String,0.09108183300000405
3000,MySQL,Search,single-search,String,3.4947674999999947
3000,MySQL,Search,multi-search,String,30.499496333999986
3000,MySQL,Search,find all,String,0.0004294999999956417
3000,Mongo,Search,single-search,Int,13.680972208999975
3000,Mongo,Search,multi-search,Int,0.045354874999986805
3000,Mongo,Search,find all,Int,6.374999998115527e-06
3000,Redis,Search,single-search,Int,0.17808316700001114
3000,Redis,Search,multi-search,Int,0.47405762500000037
3000,Redis,Search,find all,Int,0.10093195799998966
3000,MySQL,Search,single-search,Int,0.0019811669999967307
3000,MySQL,Search,multi-search,Int,0.0025739999999814245
3000,MySQL,Search,find all,Int,0.0007126250000055734
3000,Mongo,Search,single-search,Complex,18.735207167
3000,Mongo,Search,multi-search,Complex,0.05626891699998282
3000,Mongo,Search,find all,Complex,6.791000004113812e-06
3000,Redis,Search,single-search,Complex,0.17859504200001197
3000,Redis,Search,multi-search,Complex,0.46580975000000535
3000,Redis,Search,find all,Complex,0.09146199999997862
3000,MySQL,Search,single-search,Complex,0.0021070839999879354
3000,MySQL,Search,multi-search,Complex,0.0026365409999868916
3000,MySQL,Search,find all,Complex,0.0007544170000244321
3000,Mongo,Update,,String,6.0247435
